Open High Low Close Volume nTrades Value
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 800 1 10102400
12628 12628 12628 12628 200 1 2525600
12628 12628 12628 12628 500 1 6314000
12628 12628 12628 12628 200 1 2525600
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 600 1 7576800
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 200 1 2525600
12628 12628 12628 12628 644 1 8132432
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 1200 1 15153600
12628 12628 12628 12628 520 2 6566560
12628 12628 12628 12628 500 1 6314000
12628 12628 12628 12628 700 1 8839600
12628 12628 12628 12628 1300 4 16416400
12628 12628 12628 12628 350 1 4419800
12628 12628 12628 12628 999 1 12615372
12628 12628 12628 12628 2898 3 36595944
12628 12628 12628 12628 200 1 2525600
12628 12628 12628 12628 1500 2 18942000
12628 12628 12628 12628 100 1 1262800
12628 12628 12628 12628 1400 2 17679200
12628 12628 12628 12628 500 1 6314000
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 1300 2 16416400
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 1050 2 13259400
12628 12628 12628 12628 50 1 631400
12628 12628 12628 12628 400 2 5051200
12628 12628 12628 12628 500 1 6314000
12628 12628 12628 12628 500 2 6314000
12628 12628 12628 12628 250 3 3157000
12628 12628 12628 12628 111 1 1401708
12628 12628 12628 12628 1165 2 14711620
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 200 1 2525600
12628 12628 12628 12628 1301 3 16429028
12628 12628 12628 12628 1 1 12628
12628 12628 12628 12628 100 1 1262800
12628 12628 12628 12628 1000 1 12628000
12628 12628 12628 12628 300 2 3788400
12628 12628 12628 12628 200 1 2525600
13259 13259 13259 13259 182215 164 2415988685
13259 13259 13259 13259 5800 9 76902200
13259 13259 13259 13259 2800 4 37125200
13259 13259 13259 13259 2250 5 29832750
13259 13259 13259 13259 5030 6 66692770
13259 13259 13259 13259 5202 10 68973318
13259 13259 13259 13259 3270 4 43356930
13259 13259 13259 13259 3970 8 52638230
13259 13259 13259 13259 6000 9 79554000
13259 13259 13259 13259 6700 7 88835300
13259 13259 13259 13259 7810 10 103552790
13259 13259 13259 13259 5915 8 78426985
13259 13259 13259 13259 4000 4 53036000
13259 13259 13259 13259 3250 4 43091750
13259 13259 13259 13259 1400 3 18562600
13259 13259 13259 13259 1800 4 23866200
13259 13259 13259 13259 1000 1 13259000
13259 13259 13259 13259 100200 3 1328551800
13259 13259 13259 13259 1000 1 13259000
13259 13259 13259 13259 2050 4 27180950
13259 13259 13259 13259 3668 5 48634012
13259 13259 13259 13259 3000 7 39777000
13259 13259 13259 13259 158 1 2094922
13259 13259 13259 13259 2100 3 27843900
13259 13259 13259 13259 2400 6 31821600
13259 13259 13259 13259 1200 2 15910800
13259 13259 13259 13259 200 1 2651800
13259 13259 13259 13259 1050 2 13921950
13259 13259 13259 13259 1200 2 15910800
13259 13259 13259 13259 500 2 6629500
13259 13259 13259 13259 1729 9 22924811
13259 13259 13259 13259 400 2 5303600
13259 13259 13259 13259 1700 2 22540300
13259 13259 13259 13259 2900 4 38451100
